R,G,B,C,sum,Temp,Lux,Name
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,777,1514,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,306,208,778,1515,4944,258,PLT 
223,307,209,779,1518,4961,259,PLT 
223,307,209,779,1518,4961,259,PLT 
224,307,209,779,1519,4945,258,PLT 
224,307,209,779,1519,4945,258,PLT 
224,307,209,780,1520,4945,258,PLT 
224,307,209,779,1519,4945,258,PLT 
224,307,209,780,1520,4945,258,PLT 
224,307,209,780,1520,4945,258,PLT 
224,307,209,780,1520,4945,258,PLT 
